"Census","Survey","Year","Period","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Fruit","Category","Item","Metric","Domain","Total","Domain Category","Value","CV (%)","Use","Name","Code"
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","ACRES NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1",NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","6","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"BULLOCK","011","OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","5","47.6",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"MONTGOMERY","101","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","BLACK BELT",40,"SUMTER","119","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1","13.2",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","6","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"CONECUH","035","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","6","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","COASTAL PLAINS & GULF COAST",50,"MOBILE","097","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","ACRES NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"BLOUNT","009","OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1","47.6",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CALHOUN","015","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","4","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE","029","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","4","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","8","13.2",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","9","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","ACRES NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1",NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","10","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","11","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"CULLMAN","043","OPERATIONS WITH AREA NON-BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","3","47.6",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","7","13.2",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","7","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","6","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"DE KALB","049","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","6","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1","13.2",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","1","15.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","4","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"JACKSON","071","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","4","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","ACRES GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED",NA,NA,NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","OPERATIONS WITH AREA BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","55.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"MARSHALL","095","OPERATIONS WITH AREA GROWN",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","2","52.7",NA,NA,NA
"CENSUS",NA,2022,"YEAR","COUNTY","ALABAMA","01","MOUNTAINS & EASTERN VALLEY",20,"SAINT CLAIR","115","ACRES BEARING",NA,NA,NA,NA,"TOTAL","NOT SPECIFIED","10","13.2",NA,NA,NA
